 	PREFEITURA MUNICIPAL DE RIBEIRÃO PRETO
SECRETARIA DA FAZENDA
Lista: 2000    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012    2013    2014    2015    2016    2017    2018    2019    2020    2021    2022    2023    2024    2025    2026   
TABELA DE SERVIÇOS DO ANO BASE DE 2026

CÓDIGO	 	SERVIÇO	REDUÇÃO BASE CALC.	ALIQUOTA	REDUÇÃO	INICIO	FIM	CÓD SERVIÇO LEI116
10.05.00	-         	Agenciamento, Corretagem Ou Intermediação De Bens Móveis Ou Imóveis, Não Abrangidos Em Outros Itens Ou Subitens, Inclusive Aqueles Realizados No Âmbito De Bolsas De Mercadorias E Futuros, Por Quaisquer Meios.	---	2.00		01/2026	12/2026	1005
10.05.01	-         	Agenciamento, Corretagem Ou Intermediação De Veículos Automotores.	---	2.00		01/2026	12/2026	1005
10.05.02	-         	Agenciamento, Corretagem Ou Intermediação De Imóveis.	---	2.00		01/2026	12/2026	1005
10.05.03	-         	Agenciamento, Corretagem Ou Intermediação De Insumos Ou Produtos Agropecuários (Comodites).	---	2.00		01/2026	12/2026	1005
10.05.04	-         	Agenciamento, Corretagem Ou Intermediação De Outros Bens Móveis Ou Imóveis, Não Abrangidos Em Outros Itens Ou Subitens, Inclusive Aqueles Realizados No Âmbito De Bolsas De Mercadorias E Futuros, Por Quaisquer Meios.	---	2.00		01/2026	12/2026	1005
10.06.00	-         	Agenciamento Marítimo.	---	2.00		01/2026	12/2026	1006
10.07.00	-         	Agenciamento De Notícias.	---	2.00		01/2026	12/2026	1007
10.08.00	-         	Agenciamento De Publicidade E Propaganda, Inclusive O Agenciamento De Veiculação Por Quaisquer Meios.	---	2.00		01/2026	12/2026	1008
10.09.01	-         	Representação De Qualquer Natureza, Inclusive Comercial.	---	2.00		01/2026	12/2026	1009
10.09.02	-         	Representante Comercial Autônomo	---	2.00		01/2026	12/2026	1009
10.09.03	-         	Telemarketing, Teleatendimento, Televendas E Congêneres.	---	2.00		01/2026	12/2026	1009
10.10.00	-         	Distribuição De Bens De Terceiros.	---	2.00		01/2026	12/2026	1010
11.01.01	-         	Guarda E Estacionamento De Veículos Terrestres Automotores (Estabelecimento).	---	4.00		01/2026	12/2026	1101
11.01.02	-         	Guardadores De Veículos Em Vias Públicas	---	4.00		01/2026	12/2026	1101
11.01.03	-         	Guarda E Estacionamento Tipo 'Valet Service'.	---	4.00		01/2026	12/2026	1101
11.01.04	-         	Guarda E Estacionamento De Aeronaves.	---	4.00		01/2026	12/2026	1101
11.01.05	-         	Guarda E Estacionamento De Embarcações.	---	4.00		01/2026	12/2026	1101
11.02.01	-         	Vigilância, Segurança De Bens, Pessoas E Semoventes.	---	2.00		01/2026	12/2026	1102
11.02.02	-         	Guarda Noturno, Vigilante.	---	2.00		01/2026	12/2026	1102
11.02.03	-         	Monitoramento De Bens, Pessoas E Semoventes.	---	2.00		01/2026	12/2026	1102
11.03.00	-         	Escolta, Inclusive De Veículos E Cargas.	---	2.00		01/2026	12/2026	1103
11.04.01	-         	Armazenamento De Bens De Qualquer Espécie.	---	2.00		01/2026	12/2026	1104
11.04.02	-         	Armazenamento (Frigoríficos).	---	2.00		01/2026	12/2026	1104
11.04.03	-         	Depósito De Bens De Qualquer Espécie (Exceto Banco)	---	2.00		01/2026	12/2026	1104
11.04.04	-         	Carga, Descarga De Bens De Qualquer Espécie.	---	2.00		01/2026	12/2026	1104
11.04.05	-         	Arrumação E Guarda De Bens De Qualquer Espécie.	---	2.00		01/2026	12/2026	1104
12.01.00	-         	Espetáculos Teatrais.	---	3.50		01/2026	12/2026	1201
12.02.00	-         	Exibições Cinematográficas.	---	2.00		01/2026	12/2026	1202
12.03.00	-         	Espetáculos Circenses.	---	3.50		01/2026	12/2026	1203
12.04.00	-         	Programas De Auditório.	---	3.50		01/2026	12/2026	1204
12.05.00	-         	Parques De Diversões, Centros De Lazer E Congêneres.	---	3.50		01/2026	12/2026	1205
12.06.01	-         	Boates, Night Clube.	---	4.00		01/2026	12/2026	1206
12.06.02	-         	Taxi-Dancing, Drive-In E Congêneres.	---	4.00		01/2026	12/2026	1206
12.07.01	-         	Shows, Óperas, Concertos, Recitais, Festivais E Congêneres.	---	2.00		01/2026	12/2026	1207
12.07.02	-         	Ballet, Danças, Desfiles.	---	2.00		01/2026	12/2026	1207
12.07.03	-         	Bailes	---	2.00		01/2026	12/2026	1207
12.08.01	-         	Feiras, Exposições, Congressos E Congêneres.	---	4.00		01/2026	12/2026	1208
12.08.02	-         	Exposições Com Cobrança De Ingressos	---	4.00		01/2026	12/2026	1208
12.09.01	-         	Bilhares	---	3.50		01/2026	12/2026	1209
12.09.02	-         	Boliches	---	3.50		01/2026	12/2026	1209
12.09.03	-         	Diversões Eletrônicas Ou Não.	---	3.50		01/2026	12/2026	1209
12.09.04	-         	Futebol De Mesa (Pebolim)	---	3.50		01/2026	12/2026	1209
12.09.05	-         	Carteado, Dominó, Víspora E Outros Tipos De Diversões.	---	3.50		01/2026	12/2026	1209
12.10.00	-         	Corridas E Competições De Animais.	---	3.50		01/2026	12/2026	1210
12.11.00	-         	Competições Esportivas Ou De Destreza Física Ou Intelectual, Com Ou Sem A Participação Do Espectador.	---	3.50		01/2026	12/2026	1211
12.12.00	-         	Execução De Música. (Individual Ou Por Conjunto).	---	4.00		01/2026	12/2026	1212
12.13.00	-         	Produção, Mediante Ou Sem Encomenda Prévia, De Eventos, Espetáculos, Entrevistas, Shows, Ballet, Danças, Desfiles, Bailes, Teatros, Óperas, Concertos, Recitais, Festivais E Congêneres, Inclusive Programas De Televisão, Matérias Jornalísticas Ou Publicitár	---	4.00		01/2026	12/2026	1213
12.14.00	-         	Fornecimento De Música Para Ambientes Fechados Ou Não, Mediante Transmissão Por Qualquer Processo.	---	3.50		01/2026	12/2026	1214
12.15.00	-         	Desfiles De Blocos Carnavalescos Ou Folclóricos, Trios Elétricos E Congêneres.	---	3.50		01/2026	12/2026	1215
12.16.00	-         	Exibição De Filmes, Entrevistas, Musicais, Espetáculos, Shows, Concertos, Desfiles, Óperas, Competições Esportivas, Destreza Intelectual Ou Congêneres.	---	3.50		01/2026	12/2026	1216
12.17.00	-         	Recreação E Animação, Inclusive Em Festas E Eventos De Qualquer Natureza.	---	4.00		01/2026	12/2026	1217
13.02.00	-         	Fonografia Ou Gravação De Sons, Inclusive Trucagem, Dublagem, Mixagem E Congêneres.	---	3.00		01/2026	12/2026	1302
13.03.01	-         	Fotografia.	---	3.00		01/2026	12/2026	1303
13.03.02	-         	Produção Audiovisual	---	3.00		01/2026	12/2026	1303
13.03.03	-         	Revelação, Ampliação, Cópia, Reprodução, Trucagem E Congêneres.	---	3.00		01/2026	12/2026	1303
13.03.04	-         	Fotografia, Cinematografia Ou Outros, De Registro De Eventos (Casamentos, Formaturas, Festas, Recepções, Solenidades E Congêneres).	---	3.00		01/2026	12/2026	1303
13.04.01	-         	Reprografia, (Cópia De Documentos).	---	2.00		01/2026	12/2026	1304
13.04.02	-         	Microfilmagem E Digitalização.	---	2.00		01/2026	12/2026	1304
13.05.01	-         	Composição Gráfica, Inclusive Confecção De Impressos Gráficos, Exceto Se Destinados A Posterior Operação De Comercialização Ou Industrialização, Ainda Que Incorporados, De Qualquer Forma, A Outra Mercadoria Que Deva Ser Objeto De Posterior Circulação, Tais Como Bulas, Rótulos, Etiquetas, Caixas, Cartuchos, Embalagens E Manuais Técnicos E De Instrução, Quando Ficarão Sujeitos Ao Icms.	---	2.00		01/2026	12/2026	1305
13.05.02	-         	Fotocomposição	---	2.00		01/2026	12/2026	1305
13.05.03	-         	Clicheria, Zincografia, Litografia E Fotolitografia.	---	2.00		01/2026	12/2026	1305
13.05.04	-         	Artes Gráficas, Tipografia.	---	2.00		01/2026	12/2026	1305
13.05.05	-         	Serigrafia (Silk Screen)	---	2.00		01/2026	12/2026	1305
14.01.01	-         	Lubrificação De Máquinas, Aparelhos E Equipamentos, (Exceto Peças E Partes Empregadas, Que Ficam Sujeitas Ao Icms).	---	2.50		01/2026	12/2026	1401
14.01.02	-         	Limpeza De Máquinas, Aparelhos E Equipamentos.	---	2.50		01/2026	12/2026	1401
14.01.03	-         	Lustração De Máquinas, Aparelhos E Equipamentos.	---	2.50		01/2026	12/2026	1401
14.01.04	-         	Lustrador	---	2.50		01/2026	12/2026	1401
14.01.05	-         	Revisão, Carga E Recarga De Maquinas, Aparelhos E Equipamentos.	---	2.50		01/2026	12/2026	1401
14.01.06	-         	Restauração De Quaisquer Objetos	---	2.50		01/2026	12/2026	1401
14.01.07	-         	Conserto, Manutenção E Conservação De Quaisquer Objetos.	---	2.50		01/2026	12/2026	1401
14.01.08	-         	Conserto, Restauração De Sapatos.	---	2.50		01/2026	12/2026	1401
14.01.09	-         	Conserto, Restauração De Jóias, Relógios E Congêneres.	---	2.50		01/2026	12/2026	1401
14.01.10	-         	Conserto, Restauração De Óculos (Óticas).	---	2.50		01/2026	12/2026	1401
14.01.11	-         	Conserto, Restauração De Aparelhos Elétricos, Eletrônicos......	---	2.50		01/2026	12/2026	1401
14.01.12	-         	Conserto, Restauração De Eletrodomésticos.	---	2.50		01/2026	12/2026	1401
14.01.13	-         	Conserto, Restauração De Instrumentos Musicais.	---	2.50		01/2026	12/2026	1401
14.01.14	-         	Conserto, Restauração De Máquinas Agrícolas E Congêneres.	---	2.50		01/2026	12/2026	1401
14.01.15	-         	Conserto, Restauração De Aparelhos Odontológicos, Hospitalares, Ortopédicos, Laboratoriais..	---	2.50		01/2026	12/2026	1401
14.01.16	-         	Conserto, Restauração De Maquinas E Equipamentos Para Escritório.	---	2.50		01/2026	12/2026	1401
14.01.17	-         	Conserto Por Soldagem	---	2.50		01/2026	12/2026	1401
14.01.18	-         	Conserto, Restauração De Computadores E Similares.	---	2.50		01/2026	12/2026	1401
14.01.19	-         	Conserto, Restauração De Brinquedos Em Geral.	---	2.50		01/2026	12/2026	1401
14.01.20	-         	Conserto, Restauração De Aparelhos Equipamentos Industriais, Gráficos Etc.	---	2.50		01/2026	12/2026	1401
14.01.21	-         	Conserto, Restauração De Elevadores.	---	2.50		01/2026	12/2026	1401
14.01.22	-         	Conserto, Restauração De Ar Condicionado, Refrigeração Ou Ventilação.	---	2.50		01/2026	12/2026	1401
14.01.23	-         	Conserto, Restauração De Letreiros, Luminosos Em Geral.	---	2.50		01/2026	12/2026	1401
14.01.24	-         	Conserto, Restauração De Móveis Em Geral.	---	2.50		01/2026	12/2026	1401
14.01.25	-         	Conserto, Restauração De Bicicletas, Peças E Similares.	---	2.50		01/2026	12/2026	1401
14.01.26	-         	Conserto De Veículos (Parte Elétrica)	---	2.50		01/2026	12/2026	1401
14.01.27	-         	Conserto De Motocicletas E Similares	---	2.50		01/2026	12/2026	1401
14.01.28	-         	Oficina Mecânica.	---	2.50		01/2026	12/2026	1401
14.01.29	-         	Lubrificação, Revisão E Lavagem De Veículos (Postos).	---	2.50		01/2026	12/2026	1401
14.01.30	-         	Lavagem, Lubrificação Em Veículos (Outros).	---	2.50		01/2026	12/2026	1401
14.01.31	-         	Alinhamento E Balanceamento De Veículos Automotores.	---	2.50		01/2026	12/2026	1401
14.01.32	-         	Borracharia	---	2.50		01/2026	12/2026	1401
14.01.33	-         	Blindagens Em Geral	---	2.50		01/2026	12/2026	1401
14.01.34	-         	Conserto De Radiadores De Veículos Automotores.	---	2.50		01/2026	12/2026	1401
14.01.35	-         	Conserto De Direção De Veículos Automotores.	---	2.50		01/2026	12/2026	1401
14.01.36	-         	Conserto De Câmbio De Veículos Automotores.	---	2.50		01/2026	12/2026	1401
14.01.37	-         	Conserto De Vidros Elétricos De Veículos Automotores.	---	2.50		01/2026	12/2026	1401
14.01.38	-         	Conserto De Tapeçaria De Veículos Automotores.	---	2.50		01/2026	12/2026	1401
14.01.39	-         	Conserto De Aeronaves Ou Suas Partes	---	2.50		01/2026	12/2026	1401
14.02.01	-         	Assistência Técnica.	---	2.50		01/2026	12/2026	1402
14.02.02	-         	Contrato De Garantia De Assistência Técnica, Exceto Pelo Fabricante.	---	2.50		01/2026	12/2026	1402
14.03.00	-         	Retífica E Recondicionamento De Motores (Exceto Peças E Partes Empregadas, Que Ficam Sujeitas Ao Icms).	---	2.50		01/2026	12/2026	1403
14.04.00	-         	Recauchutagem Ou Regeneração De Pneus.	---	2.00		01/2026	12/2026	1404
14.05.01	-         	Recondicionamento De Objetos Quaisquer, Afiação.	---	2.50		01/2026	12/2026	1405
14.05.02	-         	Acondicionamento De Objetos Quaisquer	---	2.50		01/2026	12/2026	1405
14.05.03	-         	Pintura De Objetos Quaisquer (Placas, Painéis, Quadros, Etc).	---	2.50		01/2026	12/2026	1405
14.05.04	-         	Pintura De Veículos	---	2.50		01/2026	12/2026	1405
14.05.05	-         	Beneficiamento De Objetos Quaisquer	---	2.50		01/2026	12/2026	1405
14.05.06	-         	Lavagem De Objetos Quaisquer	---	2.50		01/2026	12/2026	1405
14.05.07	-         	Costura, Acabamento De Objetos Quaisquer.	---	2.50		01/2026	12/2026	1405
14.05.08	-         	Tingimento De Objetos Quaisquer	---	2.50		01/2026	12/2026	1405
14.05.09	-         	Galvanoplastia De Objetos Quaisquer	---	2.50		01/2026	12/2026	1405
14.05.10	-         	Anodização De Objetos Quaisquer	---	2.50		01/2026	12/2026	1405
14.05.11	-         	Corte, Recorte, De Objetos Quaisquer.	---	2.50		01/2026	12/2026	1405
14.05.12	-         	Polimento Ou Cristalização De Objetos Quaisquer	---	2.50		01/2026	12/2026	1405
14.05.13	-         	Plastificação E Congêneres, De Objetos Quaisquer.	---	2.50		01/2026	12/2026	1405
14.05.14	-         	Tornearia E Usinagem	---	2.50		01/2026	12/2026	1405
14.05.15	-         	Jateamento	---	2.50		01/2026	12/2026	1405
14.05.16	-         	Instalação De Acessórios Em Veículos Automotores	---	2.50		01/2026	12/2026	1405
14.05.99	-         	Outros	---	2.50		01/2026	12/2026	1405
14.06.01	-         	Instalação E Montagem De Aparelhos, Máquinas E Equipamentos, Prestados Ao Usuário Final, Exclusivamente Com Material Por Ele Fornecido.	---	2.50		01/2026	12/2026	1406
14.06.02	-         	Montagem Industrial, Prestados Ao Usuário Final, Exclusivamente Com Material Por Ele Fornecido.	---	2.50		01/2026	12/2026	1406
14.06.03	-         	Montagem De Óculos Para O Usuário Final (Ótica)	---	2.50		01/2026	12/2026	1406
14.07.00	-         	Colocação De Molduras E Congêneres.	---	2.00		01/2026	12/2026	1407
14.08.00	-         	Encadernação, Gravação E Douração De Livros, Revistas E Congêneres.	---	2.00		01/2026	12/2026	1408
14.09.01	-         	Alfaiataria, Quando O Material For Fornecido Pelo Usuário Final, Exceto Aviamento.	---	2.50		01/2026	12/2026	1409
14.09.02	-         	Costura (Costureiras Etc) Quando O Material For Fornecido Pelo Usuário Final, Exceto Aviamento.	---	2.50		01/2026	12/2026	1409
14.09.03	-         	Modista	---	2.50		01/2026	12/2026	1409
14.10.01	-         	Tinturaria	---	2.50		01/2026	12/2026	1410
14.10.02	-         	Lavanderia.	---	2.50		01/2026	12/2026	1410
14.11.00	-         	Tapeçaria E Reforma De Estofamentos Em Geral.	---	3.00		01/2026	12/2026	1411
14.12.00	-         	Funilaria E Lanternagem.	---	2.50		01/2026	12/2026	1412
14.13.01	-         	Carpintaria (Instalação, Montagem Ou Conserto De Bens Móveis).	---	2.50		01/2026	12/2026	1413
14.13.02	-         	Serralheria (Instalação, Montagem Ou Conserto De Bens Móveis).	---	2.50		01/2026	12/2026	1413
14.13.03	-         	Marcenaria (Instalação, Montagem Ou Conserto De Bens Móveis).	---	2.50		01/2026	12/2026	1413
14.14.01	-         	Guincho Intramunicipal	---	3.00		01/2026	12/2026	1414
14.14.02	-         	Guindaste E Içamento	---	3.00		01/2026	12/2026	1414
15.01.01	-         	Administração De Fundos Quaisquer.	---	5.00		01/2026	12/2026	1501
15.01.02	-         	Organização E Administração De Consórcio.	---	5.00		01/2026	12/2026	1501
15.01.03	-         	Administração De Cartões De Crédito, Débito E Congêneres.	---	5.00		01/2026	12/2026	1501
15.01.04	-         	Administração De Carteiras De Clientes, De Cheques Pré-Datado E Congêneres.	---	5.00		01/2026	12/2026	1501
15.02.00	-         	Abertura De Contas Em Geral, Inclusive Conta-Corrente, Conta De Investimentos E Aplicação E Caderneta De Poupança, No País E No Exterior, Bem Como A Manutenção Das Referidas Contas Ativas E Inativas.	---	5.00		01/2026	12/2026	1502
15.03.00	-         	Locação E Manutenção De Cofres Particulares, De Terminais Eletrônicos, De Terminais De Atendimento E De Bens E Equipamentos Em Geral.	---	5.00		01/2026	12/2026	1503
15.04.00	-         	Fornecimento Ou Emissão De Atestados Em Geral, Inclusive Atestado De Idoneidade, Atestado De Capacidade Financeira E Congêneres.	---	5.00		01/2026	12/2026	1504
15.05.00	-         	Cadastro, Elaboração De Ficha Cadastral, Renovação Cadastral E Congêneres, Inclusão Ou Exclusão No Cadastro De Emitentes De Cheques Sem Fundos ¿ Ccf Ou Em Quaisquer Outros Bancos Cadastrais.	---	5.00		01/2026	12/2026	1505
15.06.00	-         	Emissão, Reemissão E Fornecimento De Avisos, Comprovantes E Documentos Em Geral. Abono De Firmas. Coleta E Entrega De Documentos, Bens E Valores. Comunicação Com Outra Agência Ou Com A Administração Central. Licenciamento Eletrônico De Veículos. Transferê	---	5.00		01/2026	12/2026	1506
15.07.00	-         	Acesso, Movimentação, Atendimento E Consulta A Contas Em Geral, Por Qualquer Meio Ou Processo, Inclusive Por Telefone, Fac-Símile, Internet E Telex, Acesso A Terminais De Atendimento, Inclusive Vinte E Quatro Horas. Acesso A Outro Banco E A Rede Compartil	---	5.00		01/2026	12/2026	1507
15.08.00	-         	Emissão, Reemissão, Alteração, Cessão, Substituição, Cancelamento E Registro De Contrato De Crédito. Estudo, Análise E Avaliação De Operações De Crédito. Emissão, Concessão, Alteração Ou Contratação De Aval, Fiança, Anuência E Congêneres. Serviços Relativ	---	5.00		01/2026	12/2026	1508
15.09.00	-         	Arrendamento Mercantil (Leasing) De Quaisquer Bens, Inclusive Cessão De Direitos E Obrigações, Substituição De Garantia, Alteração, Cancelamento E Registro De Contrato, E Demais Serviços Relacionados Ao Arrendamento Mercantil (Leasing).	---	5.00		01/2026	12/2026	1509
15.10.00	-         	Serviços Relacionados A Cobranças, Recebimentos Ou Pagamentos Em Geral, De Títulos Quaisquer, De Contas Ou Carnês, De Câmbio, De Tributos E Por Conta De Terceiros, Inclusive Os Efetuados Por Meio Eletrônico, Automático Ou Por Máquinas De Atendimento. Forn	---	5.00		01/2026	12/2026	1510
15.11.00	-         	Devolução De Títulos, Protesto De Títulos, Sustação De Protesto, Manutenção De Títulos, Reapresentação De Títulos, E Demais Serviços A Eles Relacionados.	---	5.00		01/2026	12/2026	1511
15.12.00	-         	Custódia Em Geral, Inclusive De Títulos E Valores Mobiliários.	---	5.00		01/2026	12/2026	1512
15.13.00	-         	Serviços Relacionados A Operações De Câmbio Em Geral, Edição, Alteração, Prorrogação, Cancelamento E Baixa De Contrato De Câmbio. Emissão De Registro De Exportação Ou De Crédito. Cobrança Ou Depósito No Exterior. Emissão, Fornecimento E Cancelamento De Ch	---	5.00		01/2026	12/2026	1513
15.14.00	-         	Fornecimento, Emissão, Reemissão, Renovação E Manutenção De Cartão Magnético, Cartão De Crédito, Cartão De Débito, Cartão Salário E Congêneres.	---	5.00		01/2026	12/2026	1514
15.15.00	-         	Compensação De Cheques E Títulos Quaisquer. Serviços Relacionados A Depósito, Inclusive Depósito Identificado, A Saque De Contas Quaisquer, Por Qualquer Meio Ou Processo, Inclusive Em Terminais Eletrônicos E De Atendimento.	---	5.00		01/2026	12/2026	1515
15.16.00	-         	Emissão, Reemissão, Liquidação, Alteração, Cancelamento E Baixa De Ordens De Pagamento, Ordens De Crédito E Similares, Por Qualquer Meio Ou Processo. Serviços Relacionados À Transferência De Valores, Dados, Fundos, Pagamentos E Similares, Inclusive Entre	---	5.00		01/2026	12/2026	1516
15.17.00	-         	Emissão, Fornecimento, Devolução, Sustação, Cancelamento E Oposição De Cheques Quaisquer, Avulso Ou Por Talão.	---	5.00		01/2026	12/2026	1517
15.18.00	-         	Serviços Relacionados A Crédito Imobiliário, Avaliação E Vistoria De Imóvel Ou Obra, Análise Técnica E Jurídica, Emissão, Reemissão, Alteração, Transferência E Renegociação De Contrato, Emissão E Reemissão Do Termo De Quitação E Demais Serviços Relacionad	---	5.00		01/2026	12/2026	1518
16.01.01	-         	Transporte De Natureza Municipal	---	2.00		01/2026	12/2026	1601
16.01.02	-         	Transporte Por Taxi (Sem Empregados)	---	2.00		01/2026	12/2026	1601
16.01.03	-         	Transporte Por Taxi.	---	2.00		01/2026	12/2026	1601
16.01.04	-         	Outros Serviços De Transporte De Pessoas E Passageiros	---	2.00		01/2026	12/2026	1601
16.01.05	-         	Transporte De Veículos	---	2.00		01/2026	12/2026	1601
16.01.06	-         	Transporte De Mudanças	---	2.00		01/2026	12/2026	1601
16.01.07	-         	Transporte De Cargas	---	2.00		01/2026	12/2026	1601
16.01.08	-         	Transporte Por Ônibus	---	2.00		01/2026	12/2026	1601
16.01.09	-         	Transporte De Pequenas Cargas - Carretos	---	2.00		01/2026	12/2026	1601
16.01.10	-         	Transporte De Passageiros (Condutor Escolar).	---	2.00		01/2026	12/2026	1601
16.01.11	-         	Transporte De Passageiros (Moto-Taxi).	---	2.00		01/2026	12/2026	1601
16.01.12	-         	Transporte De Cargas (Ponto De Caminhão)	---	2.00		01/2026	12/2026	1601
16.02.01	-         	Serviços De Transporte Coletivo Municipal Rodoviário, Metroviário, Ferroviário E Aquaviário De Passageiros.	---	2.00		01/2026	12/2026	1602
17.01.01	-         	Assessoria De Qualquer Natureza, Não Contida Em Outros Itens Desta Lista. Análise, Exame, Pesquisa, Coleta, Compilação E Fornecimento De Dados E Informações De Qualquer Natureza.	---	4.00		01/2026	12/2026	1701
17.01.02	-         	Consultoria De Qualquer Natureza, Não Contida Em Outros Itens Desta Lista. Análise, Exame, Pesquisa, Coleta, Compilação E Fornecimento De Dados.	---	4.00		01/2026	12/2026	1701
17.01.03	-         	Escrituração. Cadastro E Congêneres	---	4.00		01/2026	12/2026	1701
17.02.01	-         	Datilografia	---	2.50		01/2026	12/2026	1702
17.02.02	-         	Digitação	---	2.50		01/2026	12/2026	1702
17.02.03	-         	Estenografia	---	2.50		01/2026	12/2026	1702
17.02.04	-         	Expediente	---	2.50		01/2026	12/2026	1702
17.02.05	-         	Secretaria Em Geral	---	2.50		01/2026	12/2026	1702
17.02.06	-         	Resposta Audível (Telemensagem)	---	2.50		01/2026	12/2026	1702
17.02.07	-         	Tradução E Interpretação	---	2.50		01/2026	12/2026	1702
17.02.08	-         	Redação, Edição, Revisão, Apoio E Infra-Estrutura Administrativa E Congêneres.	---	2.50		01/2026	12/2026	1702
17.03.01	-         	Planejamento, Coordenação Técnica, Financeira Ou Administrativa.	---	3.50		01/2026	12/2026	1703
17.03.02	-         	Programação, Organização Técnica, Financeira Ou Administrativa.	---	3.50		01/2026	12/2026	1703
17.04.01	-         	Recrutamento De Mão-De-Obra.	---	3.00		01/2026	12/2026	1704
17.04.02	-         	Agenciamento, Seleção De Mão-De-Obra.	---	3.00		01/2026	12/2026	1704
17.04.03	-         	Colocação De Mão-De-Obra.	---	3.00		01/2026	12/2026	1704
17.05.01	-         	Fornecimento De Mão-De-Obra, Mesmo Em Caráter Temporário, Inclusive De Empregados Ou Trabalhadores, Avulsos Ou Temporários, Contratados Pelo Prestador De Serviço.	---	2.50		01/2026	12/2026	1705
17.06.01	-         	Propaganda E Publicidade.	---	2.00		01/2026	12/2026	1706
17.06.02	-         	Promoção De Vendas E Negócios	---	2.00		01/2026	12/2026	1706
17.06.03	-         	Planejamento De Campanhas Ou Sistemas De Publicidade	---	2.00		01/2026	12/2026	1706
17.06.04	-         	Elaboração De Desenhos, Textos E Demais Materiais Publicitários.	---	2.00		01/2026	12/2026	1706
17.06.05	-         	Pesquisa De Mercado	---	2.00		01/2026	12/2026	1706
17.07.00	-         	(Vetado)	---	0.00		01/2026	12/2026	1707
17.08.00	-         	Franquia (Franchising).	---	4.00		01/2026	12/2026	1708
17.09.01	-         	Perícias, Laudos, Exames Técnicos.	---	2.00		01/2026	12/2026	1709
17.09.02	-         	Análises Técnicas.	---	2.00		01/2026	12/2026	1709
17.09.03	-         	Exames Psicotécnicos	---	2.00		01/2026	12/2026	1709
17.10.01	-         	Planejamento, Organização E Administração De Feiras E Congêneres.	---	2.00		01/2026	12/2026	1710
17.10.02	-         	Planejamento, Organização E Administração De Exposições, Congressos E Congêneres.	---	2.00		01/2026	12/2026	1710
17.11.01	-         	Organização De Festas E Recepções. (Exceto O Fornecimento De Alimentação E Bebidas Que Fica Sujeito Ao Icms).	---	3.00		01/2026	12/2026	1711
17.11.02	-         	Bufê (Exceto O Fornecimento De Alimentação E Bebidas Que Fica Sujeito Ao Icms).	---	3.00		01/2026	12/2026	1711
17.12.01	-         	Administração Em Geral, Inclusive De Bens E Negócios De Terceiros.	---	2.50		01/2026	12/2026	1712
17.12.02	-         	Administração De Imóveis	---	2.50		01/2026	12/2026	1712
17.12.03	-         	Administração De Empresas	---	2.50		01/2026	12/2026	1712
17.12.04	-         	Administração De Distribuição De Co-Seguros.	---	2.50		01/2026	12/2026	1712
17.13.00	-         	Leilão E Congêneres.	---	2.50		01/2026	12/2026	1713
17.14.00	-         	Advocacia.	---	2.00		01/2026	12/2026	1714
17.15.00	-         	Arbitragem De Qualquer Espécie, Inclusive Jurídica.	---	2.00		01/2026	12/2026	1715
17.16.00	-         	Auditoria.	---	2.00		01/2026	12/2026	1716
17.17.00	-         	Análise De Organização E Métodos.	---	2.50		01/2026	12/2026	1717
17.18.00	-         	Atuária E Cálculos Técnicos De Qualquer Natureza.	---	2.50		01/2026	12/2026	1718
17.19.01	-         	Contabilidade.	---	2.00		01/2026	12/2026	1719
17.19.02	-         	Técnico Em Contabilidade	---	2.00		01/2026	12/2026	1719
17.20.01	-         	Consultoria Econômica Ou Financeira.	---	3.50		01/2026	12/2026	1720
17.20.02	-         	Assessoria Econômica Ou Financeira.	---	3.50		01/2026	12/2026	1720
17.20.03	-         	Economista	---	3.50		01/2026	12/2026	1720
17.21.00	-         	Estatística.	---	3.50		01/2026	12/2026	1721
17.22.01	-         	Cobrança Em Geral. (Cobrador).	---	3.50		01/2026	12/2026	1722
17.22.02	-         	Cobranças (Outras Instituições).	---	3.50		01/2026	12/2026	1722
17.23.00	-         	Factoring - Assessoria, Análise, Avaliação, Atendimento, Consulta,Cadastro,Seleção,Gerenciamento De Informações,Administração De Contas A Receber Ou A Pagar E Em Geral, Relacionadas A Operações De Faturização.	---	3.50		01/2026	12/2026	1723
17.24.00	-         	Apresentação De Palestras, Conferências, Seminários E Congêneres.	---	2.00		01/2026	12/2026	1724
17.25.00	-         	Inserção De Textos, Desenhos E Outros Materiais De Propaganda E Publicidade, Em Qualquer Meio (Exceto Em Livros, Jornais, Periódicos E Nas Modalidades De Serviços De Radiodifusão Sonora E De Sons E Imagens De Recepção Livre E Gratuita).	---	2.00		01/2026	12/2026	1725
18.01.01	-         	Regulação De Sinistros Vinculados A Contratos De Seguros. Inspeção E Avaliação De Riscos P/Cobertura De Contratos De Seguros.	---	2.50		01/2026	12/2026	1801
18.01.02	-         	Prevenção E Gerência De Riscos Seguráveis E Congêneres.	---	2.50		01/2026	12/2026	1801
19.01.01	-         	Serviços De Distribuição E Venda De Bilhetes E Demais Produtos De Loteria, Bingos, Cartões, Pules Ou Cupons De Apostas, Sorteios, Prêmios, Inclusive Os Decorrentes De Títulos De Capitalização E Congêneres.	---	4.00		01/2026	12/2026	1901
